MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,MP_Mode,Length,Width,Draft,Cargo,TransceiverClass,VesselID
353327000,2025-08-11T16:34:10,18.25819663624427,-64.97735345115811,0,0,-1.849656552558539,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:34:10,18.24442431624842,-64.97847706592269,0,0,2.2467957731796457,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:34:10,18.256559942868467,-64.98123724660279,0,0,-1.9470371133724942,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:34:10,18.23273788045631,-64.98222780352322,0,0,2.0989873139644892,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:34:10,18.258188659877057,-64.97735541613551,0,0,-1.857935583329145,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:34:10,18.244424380671557,-64.97847699360258,0,0,2.2465480673177427,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:34:11,18.256548535744265,-64.98124205922628,0,0,-1.946900529841277,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:34:11,18.232748541886327,-64.98223414732733,0,0,2.0941783602658934,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:34:11,18.25817677476002,-64.97735834806396,0,0,-1.8584796357610593,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:34:11,18.244424352791455,-64.9784770334322,0,0,2.2466554024226393,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:34:12,18.256541013838124,-64.98124510729563,0,0,-1.9472323011207884,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:34:12,18.232755705373062,-64.98223833141407,0,0,2.0843943719806566,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:34:12,18.258168854162587,-64.97736042185394,0,0,-1.8532936072598596,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
